terms,terms_counts,doc_counts,sentiment,tags
环境,4046,4000,0,e
不错,1241,1141,1,g
也,1208,1118,0,d
一般,797,743,0,g
好,538,486,1,g
味道,434,427,0,t
很好,439,406,2,g
都,373,362,0,d
吃,412,361,0,t
还,294,283,0,d
还可以,290,279,1,g
去,273,267,0,d
是,275,263,0,d
有点,266,253,-1,o
口味,242,241,0,t
鱼,247,238,0,d
就是,241,237,0,d
可以,235,227,1,g
比较,237,222,0,d
不,199,192,0,g
服务员,191,191,0,s
干净,169,169,1,e
就,168,164,0,d
挺,166,158,0,d
还是,156,153,0,d
人,158,153,0,d
和,152,146,0,d
还行,149,144,1,g
一般般,128,127,1,g
有,129,124,0,d
感觉,120,118,0,d
价格,110,110,0,p
服务态度,109,108,0,s
还好,112,108,1,g
再,105,105,0,d
没有,106,103,-1,g
差,102,99,-1,g
不是,99,98,-1,g
还会,92,92,0,d
酸菜鱼,93,91,0,t
要,93,89,0,d
但是,89,87,-1,g
不好,87,85,-1,g
好吃,86,83,1,t
团购,80,80,0,d
排队,74,73,0,d
嘈杂,69,69,-1,e
喜欢,68,66,1,g
蛮好,65,65,2,g
新鲜,66,64,1,t
没,63,63,-1,g
态度,63,63,0,s
吵,62,62,1,e
但,60,60,0,g
不过,61,60,0,d
菜,59,58,0,d
店,57,57,0,d
来,56,56,0,d
有待,56,56,0,d
地方,55,55,0,d
值得,53,53,1,g
特别,50,50,2,g
小,49,49,0,d
改善,49,49,-1,g
太,51,49,2,g
真的,50,49,2,g
非常,53,49,3,g
热情,48,48,1,s
蛮,50,47,2,g
会,48,47,0,d
上菜,48,47,0,s
拥挤,46,46,-1,e
黑鱼,46,44,0,t
菜品,42,42,0,t
总体,39,39,0,d
时间,37,37,0,d
大,38,37,0,d
推荐,37,37,1,g
优雅,36,36,1,g
时候,36,36,0,d
停车,36,36,0,e
性价比,36,36,0,p
朋友,35,35,0,c
可能,36,35,0,d
说,37,35,0,d
赞,34,34,1,g
还有,34,34,0,d
位置,36,34,0,e
酸汤,34,34,0,t
不太好,34,34,-1,g
方便,34,33,1,e
空调,32,32,0,e
提高,32,32,-1,g
到,32,32,0,d
光顾,31,31,0,d
鱼片,31,31,0,t
划算,30,30,1,p
真心,30,30,2,g
稍微,30,29,0,d
满意,29,29,1,g
所以,29,29,0,d
送,30,28,0,d
少,28,28,-1,g
口感,28,28,0,t
桌子,28,27,0,e
更好,28,27,1,g
不够,26,26,-1,g
适合,26,26,1,g
鱼肉,26,26,0,t
太吵,26,26,-2,e
做,26,26,0,d
很嫩,26,26,2,t
还算,27,26,0,d
挤,26,26,-1,e
一如既往,26,26,1,g
等位,25,25,-1,e
生意,25,25,0,d
装修,25,25,0,e
太差,25,25,-2,g
量,25,25,0,d
觉得,25,25,0,d
经常,24,24,0,d
不行,24,24,-1,g
舒服,24,24,1,g
需要,24,24,0,d
而且,24,24,0,d
能,24,24,0,d
因为,24,24,0,d
微辣,23,23,0,t
整洁,23,23,1,e
不用,22,22,0,d
个人,22,22,0,d
舒适,22,22,1,e
环境卫生,22,22,1,e
饮料,22,22,0,t
又,25,22,0,d
差点,22,22,-1,g
尚可,22,22,1,g
完,21,21,0,d
一直,21,21,0,d
速度,21,21,0,s
滑,24,21,0,d
人多,20,20,0,e
慢,20,20,-1,s
很棒,20,20,2,g
抽烟,19,19,-1,e
机会,19,19,0,d
压抑,19,19,0,d
店里,18,18,0,d
服务周到,18,18,1,s
实在,18,18,1,p
基本,18,18,0,d
不大,18,18,0,d
不会,18,18,-1,g
便宜,18,18,1,p
想,18,18,0,d
嫩,18,18,1,t
坐,17,17,0,d
汤,17,17,0,t
应该,17,17,0,d
最,17,17,3,g
关键,17,17,0,d
希望,17,17,0,d
挺不错,17,17,1,g
一楼,17,17,0,d
高,16,16,0,d
只能,16,16,0,d
才,16,16,0,d
算,16,16,0,d
空气,16,16,0,e
吃饭,16,16,0,d
地面,16,16,0,e
有家,16,16,0,d
再来,15,15,1,b
整体,15,15,0,d
脏,15,15,-1,e
酸,16,15,0,t
不如,15,15,-1,g
长,15,15,0,d
找,15,15,0,d
叫,16,15,0,d
热,15,15,-1,e
座位,15,15,0,e
很大,15,15,1,g
已经,14,14,0,d
不太,14,14,-1,g
店面,14,14,0,e
特色,14,14,1,g
味,14,14,0,t
足,14,14,1,g
空间,14,14,0,e
可,14,14,0,d
二楼,13,13,0,e
只是,13,13,0,d
包厢,13,13,0,e
贵,13,13,-1,p
倒,13,13,0,d
更,13,13,0,d
不贵,13,13,1,p
虽然,13,13,0,d
很赞,13,13,2,g
如果,13,13,0,d
油腻,14,13,-1,t
改进,13,13,-1,g
太慢,14,13,-1,s
还要,13,13,0,d
时,12,12,0,d
佳,12,12,0,d
大家,12,12,0,d
建议,12,12,0,d
尤其,12,12,2,g
让,12,12,0,d
餐具,12,12,0,e
毕竟,12,12,0,d
周到,12,12,1,s
知道,12,12,0,d
小聚,11,11,0,c
辣,11,11,0,t
不算,11,11,-1,g
凑合,11,11,1,g
很足,11,11,2,g
吵杂,11,11,-1,e
最好,13,11,1,g
到位,11,11,0,d
常去,12,11,1,b
随便,11,11,-1,s
挑,11,11,0,d
看,11,11,0,d
真,11,11,0,d
光临,10,10,0,d
好像,10,10,0,d
环境优美,10,10,1,e
好点,10,10,1,g
加强,10,10,-1,g
人员,10,10,0,s
分量,10,10,0,t
乱,10,10,-1,e
萝卜,10,10,0,d
新,10,10,0,d
小孩,10,10,0,c
宽敞,10,10,1,e
小贵,10,10,-1,p
鱼腥味,10,10,-1,e
真是,11,10,2,g
老,10,10,-1,t
券,10,10,0,d
继续,10,10,0,d
带,9,9,0,d
适中,9,9,1,g
很高,9,9,0,d
像,9,9,0,d
很薄,10,9,0,t
太长,9,9,0,d
不高,9,9,0,d
酸菜,9,9,0,t
坐在,9,9,0,d
方面,9,9,0,d
客人,9,9,0,c
略,9,9,0,d
合算,9,9,1,p
进去,9,9,0,d
餐厅,10,9,0,e
负,9,9,0,d
不能,9,9,0,d
滴,9,9,0,d
清爽,9,9,1,t
人不多,9,9,1,e
连锁店,9,9,0,d
正好,8,8,1,g
苍蝇,8,8,-2,e
小时,8,8,0,d
通风,8,8,1,e
然后,8,8,0,d
闷,8,8,-1,e
人气,8,8,0,d
太小,8,8,-1,e
呛,8,8,-1,g
及时,8,8,0,d
一定,8,8,2,g
一去,8,8,0,d
品尝,8,8,0,d
提醒,8,8,0,d
放,8,8,0,d
跟不上,8,8,-1,s
火锅,8,8,0,t
久,8,8,0,d
不想,8,8,0,d
不到,8,8,0,d
很差,8,8,-2,g
不给力,8,8,-1,g
鲜美,8,8,1,t
街,8,8,0,d
满,8,8,0,d
人点,8,8,0,d
腥味,8,8,-1,t
好评,8,8,1,g
原来,8,8,0,d
套餐,7,7,0,t
旧,7,7,0,d
只,7,7,0,d
经济,7,7,1,p
早点,7,7,0,t
聚餐,7,7,0,c
杀鱼,7,7,0,d
厨房,7,7,0,e
冷,7,7,-1,g
算是,7,7,0,d
聚会,7,7,0,c
新开,7,7,0,e
厕所,7,7,0,e
很鲜,7,7,2,t
选择,7,7,0,d
由于,7,7,0,d
给力,8,7,1,g
居然,7,7,0,d
相当,7,7,2,g
绝对,8,7,0,d
相对,7,7,0,d
位子,7,7,0,e
开心,7,7,1,g
地理位置,7,7,0,e
差一点,7,7,-1,g
不足,7,7,-1,g
酸爽,7,7,1,t
需,7,7,0,e
同事,7,7,0,c
早,7,7,0,d
很快,7,7,1,s
价位,7,7,0,p
份量,7,7,0,p
只有,7,7,0,d
电梯,7,7,0,e
饭点,7,7,0,t
意面,6,6,0,t
偶尔,6,6,0,d
到处,6,6,0,d
鱼汤,6,6,0,t
根本,6,6,0,d
更是,6,6,2,g
店家,6,6,0,d
腻,6,6,-1,t
入味,6,6,1,t
两人,6,6,0,c
薄,6,6,0,d
太忙,6,6,-1,s
亲民,6,6,1,s
肯定,6,6,2,g
挺好吃,6,6,1,t
加,6,6,0,d
看着,6,6,0,d
要求,6,6,0,d
竟然,6,6,-1,g
欠缺,6,6,-1,g
现点,6,6,0,d
人太多,6,6,-1,e
石路,6,6,0,d
刚,6,6,0,d
重要,7,6,0,d
提升,6,6,1,g
涮,6,6,0,d
其实,6,6,0,d
忙,6,6,0,s
吃不完,6,6,1,t
进门,6,6,0,d
热闹,6,6,1,e
较差,6,6,-1,g
起来,6,6,0,d
相比,6,6,0,d
商场,6,6,0,e
灯光,6,6,0,e
暗,6,6,-1,e
反正,6,6,0,d
等候,6,6,0,e
原因,6,6,0,d
肉,6,6,0,t
滑倒,6,6,-1,e
问,6,6,0,d
太好,6,6,2,g
开业,6,6,0,d
注意,6,6,0,d
服务质量,6,6,0,s
菜色,5,5,0,t
牛排,5,5,0,t
选鱼,5,5,0,d
活鱼,5,5,0,t
比起,5,5,0,d
低,5,5,0,d
食物,5,5,0,t
想象,5,5,0,d
价格公道,5,5,1,p
啤酒,5,5,0,d
简单,5,5,0,d
价钱,6,5,0,p
考虑,5,5,0,d
问题,6,5,0,d
就餐,5,5,0,d
太挤,5,5,-2,e
