编码,名称,价格,
10301,酸不辣（黑）,45.9000,
10302,酸微微（黑）,45.9000,
10303,酸微（黑）,45.9000,
10304,酸中（黑）,45.9000,
10305,麻微（黑）,45.9000,
10306,麻中（黑）,45.9000,
10307,麻重（黑）,45.9000,
10401,香油碟,2.0000,
10402,辣油碟,2.0000,
10403,香菜碟,2.0000,
10404,川崎(海鲜),3.0000,
10405,川崎(麻辣),3.0000,
10406,蒜沫,2.0000,
10407,葱沫,2.0000,
10408,沙茶酱,3.0000,
10409,花生酱,3.0000,
10501,酸菜,5.0000,
10502,酸萝卜,6.0000,
10503,泡包菜,7.0000,
10504,冬瓜,3.0000,
10505,土豆,3.0000,
10506,豆芽,3.0000,
10509,粉丝,5.0000,
10510,粉条,5.0000,
10511,青菜,6.0000,
10512,海带,6.0000,
10513,莴笋,8.0000,
10514,平菇,8.0000,
10515,菠菜,8.0000,
10516,生菜,8.0000,
10517,山药,9.0000,
10518,香菜,9.0000,
10519,木耳,9.0000,
10520,香菇,10.0000,
10521,金针菇,10.0000,
10522,山药宽粉,12.0000,
10523,嫩豆腐,4.0000,
10525,面筋,6.0000,
10526,特色炸腐皮,12.0000,
10527,花生米(小),2.0000,
10528,花生米(大),5.0000,
10533,芝士年糕,12.0000,
10538,娃娃菜,10.0000,
10316,蛋饺,14.0000,
10600,鹌鹑蛋,9.0000,
10602,梅林午餐肉,16.0000,
10603,牛百叶,18.0000,
10604,毛肚,42.0000,
10605,羊肉,38.0000,
10606,肥牛,48.0000,
10608,香菇贡丸,13.0000,
10610,蟹肉棒,13.0000,
10611,包心鱼丸,16.0000,
10612,包心贡丸,16.0000,
10613,猪脑,15.0000,
10614,鱼豆腐,16.0000,
10615,虾丸,13.0000,
10616,牛黄喉,28.0000,
10701,米饭,1.0000,
10702,米饭大,5.0000,
10703,南瓜饼,10.0000,
10704,油刀切,10.0000,
10705,特色蛋炒饭,18.0000,
10710,春卷,12.0000,
10711,绿茶饼,18.0000,
10712,拉面,12.0000,
10802,口水鸡,18.0000,
10803,爽口海蜇,18.0000,
10806,特色杭州酱鸭,36.0000,
10807,香菜云丝,8.0000,
10808,沾酱黄瓜,8.0000,
10809,皮蛋豆腐,8.0000,
10817,爽口海带,10.0000,
10819,泡椒藕苗,15.0000,
10820,夫妻肺片,22.0000,
10821,去骨乌鸡爪,26.0000,
21105,矿泉水,3.0000,
21106,可乐(听),5.0000,
21107,雪碧(听),5.0000,
21108,椰子汁,8.0000,
21109,加多宝,6.0000,
21111,可乐(瓶),10.0000,
21112,雪碧(瓶),10.0000,
21113,果粒橙,10.0000,
21115,七喜(听),5.0000,
21116,七喜(瓶),10.0000,
21141,橙汁,18.0000,
21143,苹果汁,18.0000,
21148,椰子汁(345ml),10.0000,
21152,椰子汁(245ml),6.0000,
21155,娃哈哈苹果汁,16.0000,
21156,娃哈哈橙汁,16.0000,
21157,海南椰汁,25.0000,
21158,娃哈哈酸奶,16.0000,
21164,王老吉,6.0000,
21165,红牛,10.0000,
21168,味之园酸奶,16.0000,
21175,多维佳苹果汁,10.0000,
21176,青青小芦乳酸菌,12.0000,
21201,喜力,12.0000,
21202,虎牌啤酒,9.0000,
21203,勇闯天涯,8.0000,
21204,雪花纯生,10.0000,
21205,哈尔滨啤酒,6.0000,
21209,青岛纯生,10.0000,
21211,金标纯生,10.0000,
21212,晶尊纯生,12.0000,
21213,三得利世樽,8.0000,
21214,精品大梁山,6.0000,
21302,百年迎驾,38.0000,
21304,古井贡150ml,58.0000,
21306,三星迎驾,78.0000,
21308,海之蓝,188.0000,
21309,江小白,20.0000,
21310,洋河蓝优(200ml),30.0000,
21311,洋河蓝优(480ml),48.0000,
21312,小糊涂仙,98.0000,
21313,洋河青瓷,158.0000,
21314,洋河青瓷酒（240ml）,65.0000,
21315,双沟吉日佳酿,78.0000,
21316,洋河大曲新天蓝,98.0000,
21317,泸州老窖头曲,106.0000,
21320,汉糯米酒,19.0000,
21401,沙洲优黄六年,20.0000,
21403,水香国色（银）,38.0000,
21404,水香国色（金）,58.0000,
21405,和酒银标,16.0000,
21406,和酒五年,26.0000,
21407,石库门红标,28.0000,
21408,石库门经典清口六年,36.0000,
21409,石库门黑标,48.0000,
21410,石库门一品清口八年,48.0000,
21411,中国劲酒,18.0000,
21414,会稽山三年陈,15.0000,
21415,会稽山纯正五年,25.0000,
21416,古越龙山金五年,25.0000,
21418,和润家宴三年,15.0000,
21419,和润家宴5年,25.0000,
21422,会稽山纯正六年,25.0000,
21423,会稽山十年,48.0000,
21424,乌毡帽小坛冬酿,20.0000,
21425,乌毡帽冻藏冰雕,65.0000,
21426,古越龙山状元红,50.0000,
32101,纸巾,1.0000,
32102,打包盒（大）,2.0000,
32103,打包盒（小）,1.0000,
32106,外卖打包盒,5.0000,
32107,纸巾（盒）,2.0000,
